language,files,blank,comment,code
JSON,3001,14,0,68941
Java,790,8465,8571,59299
Python,5,161,18,1658
XML,3,0,0,834
Markdown,4,66,0,315
Gradle,2,54,56,291
Bourne Shell,1,28,116,105
DOS Batch,1,21,2,69
GLSL,2,16,2,55
TOML,1,2,43,27
YAML,1,9,34,5
SUM,3811,8836,8842,131599
